Timestamp (s),Position (mm),Force (N),Torque,Stage
1539655354.4778318,-0.7039,15.516284724000004,7513,1
1539655354.510069,-0.7038,15.516284724000004,7511,1
1539655354.542526,-0.7038,15.516284724000004,7509,1
1539655354.5740092,-0.7037,15.473799576000001,7507,1
1539655354.606487,-0.7036,15.516284724000004,7507,1
1539655354.6381812,-0.7036,15.601255020000002,7505,1
1539655354.670167,-0.7035,15.601255020000002,7503,1
1539655354.702198,-0.7034,15.601255020000002,7501,1
1539655354.7341042,-0.7032,15.558769872000001,7499,1
1539655354.7661881,-0.7032,15.558769872000001,7499,1
1539655354.7982972,-0.7031,15.558769872000001,7497,1
1539655354.8303602,-0.703,15.558769872000001,7495,1
1539655354.862368,-0.7029,15.558769872000001,7493,1
1539655354.894322,-0.7028,15.516284724000004,7491,1
1539655354.926095,-0.7027,15.558769872000001,7489,1
1539655354.958239,-0.7026,15.516284724000004,7487,1
1539655354.9900851,-0.7026,15.558769872000001,7487,1
1539655355.022143,-0.7025,15.516284724000004,7485,1
1539655355.0543628,-0.7025,15.516284724000004,7485,1
1539655355.0862348,-0.7025,15.601255020000002,7485,1
1539655355.11824,-0.7025,15.431314428000004,7485,1
1539655355.150336,-0.7025,15.558769872000001,7485,1
1539655355.182303,-0.7024,15.516284724000004,7483,1
1539655355.2146618,-0.7024,15.516284724000004,7483,1
1539655355.2462752,-0.7023,15.431314428000004,7481,1
1539655355.278219,-0.7023,15.516284724000004,7481,1
1539655355.311574,-0.7022,15.516284724000004,7479,1
1539655355.3423412,-0.7022,15.516284724000004,7479,1
1539655355.374351,-0.7022,15.473799576000001,7479,1
1539655355.40671,-0.7021,15.473799576000001,7477,1
1539655355.438709,-0.7021,15.473799576000001,7477,1
1539655355.470502,-0.702,15.473799576000001,7475,1
1539655355.502634,-0.7019,15.431314428000004,7473,1
1539655355.534673,-0.7019,15.473799576000001,7471,1
1539655355.566533,-0.7018,15.558769872000001,7471,1
1539655355.598537,-0.7018,15.431314428000004,7471,1
1539655355.6305768,-0.7017,15.473799576000001,7469,1
1539655355.662852,-0.7016,15.431314428000004,7467,1
1539655355.6948512,-0.7015,15.473799576000001,7465,1
